Navigation Status,Description
-1,Undefined
-1,Power-driven vessel pushing ahead or towing alongside
-1,Power-driven vessel towing astern
0,Under way using engine
1,At anchor
2,Not under command
3,Restricted maneuverability
4,Constrained by her draught
5,Moored
6,Aground
7,Engaged in Fishing
8,Under way sailing
9,Reserved for future use (9)
10,Reserved for future use (10)
11,Reserved for future use (11)
12,Reserved for future use (12)
13,Reserved for future use (13)
14,AIS-SART (active); MOB-AIS; EPIRB-AIS
15,Not defined (default)